Model,PR-AUC,ROC-AUC
XGBoost,0.8282903569690908,0.9741101796874492
XGBoost + SMOTE,0.8094795240759087,0.9731933008104098
Logistic Regression (Baseline),0.6720110160925985,0.9658137683266611
Isolation Forest (Unsupervised),0.08683290569912003,0.9396194056127591
